run_name,budget,query_concept,count,count_std
neural_baseline_lambda_s_0,1,health_or_wellness_work,1200.0,1095.4451150103323
neural_baseline_lambda_s_0,1,creative_or_artistic_work,800.0,1095.4451150103323
neural_baseline_lambda_s_0,1,advanced_degree_or_training,0.0,0.0
neural_baseline_lambda_s_0,1,appearance_or_body_presentation,0.0,0.0
neural_baseline_lambda_s_0,1,building_or_spatial_design,0.0,0.0
neural_baseline_lambda_s_0,1,business_or_client_service,0.0,0.0
neural_baseline_lambda_s_0,1,business_or_management_education,0.0,0.0
neural_baseline_lambda_s_0,1,camera_or_photography_work,0.0,0.0
neural_baseline_lambda_s_0,1,celebrity_or_public_attention,0.0,0.0
neural_baseline_lambda_s_0,1,child_or_family_care_mentions,0.0,0.0
neural_baseline_lambda_s_0,1,classroom_instruction,0.0,0.0
neural_baseline_lambda_s_0,1,clinical_care,0.0,0.0
neural_baseline_lambda_s_0,1,comedy_or_stage_performance,0.0,0.0
neural_baseline_lambda_s_0,1,dental_or_oral_health,0.0,0.0
neural_baseline_lambda_s_0,1,design_work,0.0,0.0
neural_baseline_lambda_s_0,1,education_or_academic_work,0.0,0.0
neural_baseline_lambda_s_0,1,fashion_or_modeling_work,0.0,0.0
neural_baseline_lambda_s_0,1,female_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,1,female_pronouns,0.0,0.0
neural_baseline_lambda_s_0,1,film_or_video_production,0.0,0.0
neural_baseline_lambda_s_0,1,financial_or_accounting_work,0.0,0.0
neural_baseline_lambda_s_0,1,fitness_instruction,0.0,0.0
neural_baseline_lambda_s_0,1,gendered_organization_or_award,0.0,0.0
neural_baseline_lambda_s_0,1,interior_or_decorative_design,0.0,0.0
neural_baseline_lambda_s_0,1,legal_or_regulatory_work,0.0,0.0
neural_baseline_lambda_s_0,1,legal_practice,0.0,0.0
neural_baseline_lambda_s_0,1,legal_support_work,0.0,0.0
neural_baseline_lambda_s_0,1,literary_writing,0.0,0.0
neural_baseline_lambda_s_0,1,live_music_or_recording,0.0,0.0
neural_baseline_lambda_s_0,1,male_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,1,male_pronouns,0.0,0.0
neural_baseline_lambda_s_0,1,management_or_leadership,0.0,0.0
neural_baseline_lambda_s_0,1,manual_body_treatment,0.0,0.0
neural_baseline_lambda_s_0,1,media_interviews_or_features,0.0,0.0
neural_baseline_lambda_s_0,1,media_or_publishing_work,0.0,0.0
neural_baseline_lambda_s_0,1,medical_training,0.0,0.0
neural_baseline_lambda_s_0,1,mind_body_practice,0.0,0.0
neural_baseline_lambda_s_0,1,music_composition,0.0,0.0
neural_baseline_lambda_s_0,1,nursing_care,0.0,0.0
neural_baseline_lambda_s_0,1,nutrition_or_diet_guidance,0.0,0.0
neural_baseline_lambda_s_0,1,online_public_presence,0.0,0.0
neural_baseline_lambda_s_0,1,organizational_role_or_administration,0.0,0.0
neural_baseline_lambda_s_0,1,parent_role_mentions,0.0,0.0
neural_baseline_lambda_s_0,1,public_presence_or_recognition,0.0,0.0
neural_baseline_lambda_s_0,1,public_speaking_or_events,0.0,0.0
neural_baseline_lambda_s_0,1,religious_ministry,0.0,0.0
neural_baseline_lambda_s_0,1,reporting_or_news_work,0.0,0.0
neural_baseline_lambda_s_0,1,research_publications,0.0,0.0
neural_baseline_lambda_s_0,1,scientific_or_lab_research,0.0,0.0
neural_baseline_lambda_s_0,1,software_development,0.0,0.0
neural_baseline_lambda_s_0,1,spouse_or_partner_mentions,0.0,0.0
neural_baseline_lambda_s_0,1,surgical_work,0.0,0.0
neural_baseline_lambda_s_0,1,teaching_or_instruction,0.0,0.0
neural_baseline_lambda_s_0,1,technical_infrastructure,0.0,0.0
neural_baseline_lambda_s_0,1,technical_or_engineering_work,0.0,0.0
neural_baseline_lambda_s_0,1,therapy_or_counseling,0.0,0.0
neural_baseline_lambda_s_0,1,university_affiliation,0.0,0.0
neural_baseline_lambda_s_0,1,visual_art_practice,0.0,0.0
neural_baseline_lambda_s_0,2,creative_or_artistic_work,559.2,765.7161353922222
neural_baseline_lambda_s_0,2,clinical_care,376.8,569.218060149184
neural_baseline_lambda_s_0,2,legal_or_regulatory_work,279.6,625.2046065089412
neural_baseline_lambda_s_0,2,health_or_wellness_work,256.4,573.327829430946
neural_baseline_lambda_s_0,2,nursing_care,240.8,329.72897961811
neural_baseline_lambda_s_0,2,film_or_video_production,143.6,321.0993615689698
neural_baseline_lambda_s_0,2,literary_writing,143.6,321.0993615689698
neural_baseline_lambda_s_0,2,advanced_degree_or_training,0.0,0.0
neural_baseline_lambda_s_0,2,appearance_or_body_presentation,0.0,0.0
neural_baseline_lambda_s_0,2,building_or_spatial_design,0.0,0.0
neural_baseline_lambda_s_0,2,business_or_client_service,0.0,0.0
neural_baseline_lambda_s_0,2,business_or_management_education,0.0,0.0
neural_baseline_lambda_s_0,2,camera_or_photography_work,0.0,0.0
neural_baseline_lambda_s_0,2,celebrity_or_public_attention,0.0,0.0
neural_baseline_lambda_s_0,2,child_or_family_care_mentions,0.0,0.0
neural_baseline_lambda_s_0,2,classroom_instruction,0.0,0.0
